_id,title
66bbcdafc06bd913e4c97d69,"PM Shehbaz hosts Arshad Nadeem for dinner, announces Rs150 million reward"
66bbcdafc06bd913e4c97d6b,Karachi's Dawood University VC Dr Samreen remains unhurt in gun attack
66bbcdafc06bd913e4c97d6c,Visa fee for 126 countries waived under new policy: information minister
66bbcdafc06bd913e4c97d6d,Proposed revision in passport rules allows citizens to apply from any city
66bbcdafc06bd913e4c97d6e,Pakistan expresses grave concerns over illicit sale of nuclear material in India
66bbcdafc06bd913e4c97d6f,JI to give call for protests together with trader groups after two-week-long sit-in
66bbcdafc06bd913e4c97d70,"Cambridge announces O, A-level, AS and IGCSE results in Pakistan"
66bbcdafc06bd913e4c97d73,Russian ambassador wishes Pakistanis prosperity on Independence Day
66bbcdafc06bd913e4c97d79,"'Fresh polls no solution': Abbasi urges COAS, chief justice, politicians to find way out"
66bbcdafc06bd913e4c97d7a,More monsoon rains to lash parts of country from August 14
66bbedd4e968fea3369c4c30,"Four soldiers martyred, six terrorists killed in South Waziristan shootout"
66bc85069e0f86e8a9f05777,Good news of power price reduction soon: PM Shehbaz
66bc85069e0f86e8a9f05778,"1,200 students form human flag in Pakpattan"
66bc85069e0f86e8a9f05779,August 14: Aerial firing leaves 70 people injured in Karachi
66bc85069e0f86e8a9f0577a,Google marks Pakistan's Independence Day with mango art-inspired doodle
66bca1389e0f86e8a9f0577e,"President Zardari confers national awards on 104 Pakistanis, foreigners on Independence Day"
66bca1389e0f86e8a9f0577f,Monsoon rains: NDMA warns of urban flooding in KP from today till Aug 18
66bcaf549e0f86e8a9f05781,Good news on power prices coming soon: PM Shehbaz
66bcb48763bf3cc81f9a38df,"Child dead, 95 injured due to aerial firing in Karachi on eve of Independence Day"
66bcb48763bf3cc81f9a38e0,"President Zardari announces national awards for 104 Pakistanis, foreigners on Independence Day"
66bd0272a14730105ae9ac69,Transferred Adiala Jail deputy superintendent 'arrested for aiding' Imran Khan
66bd0272a14730105ae9ac6a,In pictures: Pakistan celebrates 77 years of freedom with enthusiasm
66bd0272a14730105ae9ac6b,August 14: Aerial firing leaves 95 people injured in Karachi
66bd18ebdd9b75b8f8ae0808,Adiala Jail's ex-deputy superintendent 'nabbed for facilitating Imran Khan'
66bd18ebdd9b75b8f8ae080a,NDMA issues flash flooding alert for KP due to monsoon rains
66bd18ebdd9b75b8f8ae080d,"Display of patriotism: 1,200 students form human flag in Pakpattan"
66bd18ebdd9b75b8f8ae080f,Google displays creative mango doodle for Pakistan's Independence Day
66bd18ebdd9b75b8f8ae0810,Pakistan celebrates 77 years of independence
66bd18ebdd9b75b8f8ae0811,Four soldiers martyred in KP's South Waziristan: ISPR
66bd18ebdd9b75b8f8ae0814,PM Shehbaz announces Rs150 million reward for Arshad Nadeem
66bd18ebdd9b75b8f8ae0815,New policy to waive visa fee for 126 countries comes into effect
66bd18ebdd9b75b8f8ae0816,"Karachi's Dawood University VC faces gun attack, remains unscathed"
66bd18ebdd9b75b8f8ae0817,Citizens can apply for passport from any city as govt 'moves to amend rules'
66bd18ebdd9b75b8f8ae0818,Pakistan urges India to probe 'theft and illicit sale' of radioactive materials
66bd18ebdd9b75b8f8ae0819,"Cambridge announces O/A level, IGCSE exam results in Pakistan"
66bd18ebdd9b75b8f8ae081b,JI announces fresh protests in conjunction with traders
66bd18ebdd9b75b8f8ae081d,Russian ambassador congratulates Pakistani nation on Independence Day
66bd18ebdd9b75b8f8ae0822,"Abbasi calls on COAS, CJP, politicians to 'figure out how to run country'"
66bd18ebdd9b75b8f8ae0823,Parts of country to experience more monsoon rains from August 14
66bdc207f01858d7cc2794af,'Heightened surveillance' behind slow internet speed in Pakistan: WISPAP
66bdc207f01858d7cc2794b0,India's Independence Day observed as 'Black Day' by Kashmiris
66bdc207f01858d7cc2794b1,Karachi weather update: PMD forecasts more rain in next 24 hours
66be41865546490dce84767c,Hammad Azhar steps down again as PTI Punjab president citing lack of access to Imran
66be41865546490dce84767d,"7 terrorists killed during intelligence-based operation in KP’s Kurram district, says military"
66be41bdaa6d9c8acf76e1c6,Seven terrorists killed in Kurram IBO
66be41bdaa6d9c8acf76e1c7,Azhar steps down as PTI's Punjab president due to 'lack of access' to Imran Khan
66be41bdaa6d9c8acf76e1c9,"Senate body seeks swift solution for internet, social media disruptions"
66be41bdaa6d9c8acf76e1ca,"Gen Faiz arrest military's internal matter, says Imran Khan"
66be41bdaa6d9c8acf76e1cb,Natalie A Baker appointed deputy chief of mission at US embassy in Islamabad
66be41bdaa6d9c8acf76e1cc,Three more retired army officers linked to Gen Faiz Hamid case taken into custody
66be431cce3d5b702a56f88a,Seven terrorists killed in Kurram IBO: ISPR
